Lake,Sim,year,zone,variable,value
Mendota,0,2004,epi,Temp,11.302834487003835
Mendota,0,2005,epi,Temp,10.73952676764283
Mendota,0,2006,epi,Temp,9.966580233441064
Mendota,0,2007,epi,Temp,11.188043041223045
Mendota,0,2008,epi,Temp,10.71299661473224
Mendota,0,2009,epi,Temp,9.696889081734554
Mendota,0,2010,epi,Temp,11.453554687411817
Mendota,0,2011,epi,Temp,9.523953041197714
Mendota,0,2012,epi,Temp,10.788014650202687
Mendota,0,2013,epi,Temp,9.969837589138418
Mendota,0,2014,epi,Temp,9.485982031334878
Mendota,1,2004,epi,Temp,12.029640098422444
Mendota,1,2005,epi,Temp,11.245640344964011
Mendota,1,2006,epi,Temp,10.315420497663274
Mendota,1,2007,epi,Temp,11.715535908180732
Mendota,1,2008,epi,Temp,11.417923239218494
Mendota,1,2009,epi,Temp,10.657431591258364
Mendota,1,2010,epi,Temp,11.90492322449053
Mendota,1,2011,epi,Temp,10.149975243619735
Mendota,1,2012,epi,Temp,11.294764855586823
Mendota,1,2013,epi,Temp,10.443564545474974
Mendota,1,2014,epi,Temp,10.122282276863906
Mendota,2,2004,epi,Temp,12.608174909889055
Mendota,2,2005,epi,Temp,11.700122942259576
Mendota,2,2006,epi,Temp,10.654062766347206
Mendota,2,2007,epi,Temp,12.379941364025926
Mendota,2,2008,epi,Temp,12.333494576736697
Mendota,2,2009,epi,Temp,10.960676373281068
Mendota,2,2010,epi,Temp,12.55512827340917
Mendota,2,2011,epi,Temp,10.736016983397484
Mendota,2,2012,epi,Temp,11.92609462809526
Mendota,2,2013,epi,Temp,11.039312836643647
Mendota,2,2014,epi,Temp,10.708275979168048
Mendota,3,2004,epi,Temp,13.182586705768678
Mendota,3,2005,epi,Temp,12.263107116936371
Mendota,3,2006,epi,Temp,11.230823419718476
Mendota,3,2007,epi,Temp,13.033334305066628
Mendota,3,2008,epi,Temp,12.698238166540607
Mendota,3,2009,epi,Temp,11.61596238508761
Mendota,3,2010,epi,Temp,13.132933390749114
Mendota,3,2011,epi,Temp,11.582380386012975
Mendota,3,2012,epi,Temp,12.313074093591586
Mendota,3,2013,epi,Temp,11.590495742977522
Mendota,3,2014,epi,Temp,11.107611939485471
Mendota,4,2004,epi,Temp,13.578153807284496
Mendota,4,2005,epi,Temp,12.571667932486989
Mendota,4,2006,epi,Temp,11.924969651892864
Mendota,4,2007,epi,Temp,13.502518527349753
Mendota,4,2008,epi,Temp,13.203118178732488
Mendota,4,2009,epi,Temp,12.016862902149661
Mendota,4,2010,epi,Temp,13.630159554119299
Mendota,4,2011,epi,Temp,11.96032621985725
Mendota,4,2012,epi,Temp,12.803095750589375
Mendota,4,2013,epi,Temp,12.063277241383918
Mendota,4,2014,epi,Temp,11.780645445205367
Mendota,5,2004,epi,Temp,14.077829034229723
Mendota,5,2005,epi,Temp,13.113665700906806
Mendota,5,2006,epi,Temp,12.378124314873824
Mendota,5,2007,epi,Temp,14.16627432969051
Mendota,5,2008,epi,Temp,13.906497015655106
Mendota,5,2009,epi,Temp,12.807016260360069
Mendota,5,2010,epi,Temp,14.22716987691408
Mendota,5,2011,epi,Temp,12.522086750367913
Mendota,5,2012,epi,Temp,13.486382373790947
Mendota,5,2013,epi,Temp,12.254371792630804
Mendota,5,2014,epi,Temp,12.175695271945647
Mendota,6,2004,epi,Temp,14.822094557043524
Mendota,6,2005,epi,Temp,13.573101106926575
Mendota,6,2006,epi,Temp,12.77041105965712
Mendota,6,2007,epi,Temp,14.7823844623981
Mendota,6,2008,epi,Temp,14.5581885429538
Mendota,6,2009,epi,Temp,13.371880239537369
Mendota,6,2010,epi,Temp,14.871730884215767
Mendota,6,2011,epi,Temp,13.051789613504273
Mendota,6,2012,epi,Temp,14.026547259177773
Mendota,6,2013,epi,Temp,12.998618960938138
Mendota,6,2014,epi,Temp,12.89191284519924
Mendota,7,2004,epi,Temp,15.60765741403331
Mendota,7,2005,epi,Temp,14.335493332093026
Mendota,7,2006,epi,Temp,13.245427108002046
Mendota,7,2007,epi,Temp,15.692930936239957
Mendota,7,2008,epi,Temp,15.118250861657224
Mendota,7,2009,epi,Temp,13.84273273518566
Mendota,7,2010,epi,Temp,15.527227729372076
Mendota,7,2011,epi,Temp,13.785749290215009
Mendota,7,2012,epi,Temp,14.476784343677501
Mendota,7,2013,epi,Temp,13.645916079074047
Mendota,7,2014,epi,Temp,13.398391070908778
Sunapee,0,2004,epi,Temp,10.835696214014728
Sunapee,0,2005,epi,Temp,10.194753904818302
Sunapee,0,2006,epi,Temp,10.01458996916263
Sunapee,0,2007,epi,Temp,10.676432884740747
Sunapee,0,2008,epi,Temp,10.43965408834583
Sunapee,0,2009,epi,Temp,10.860129834572193
Sunapee,0,2010,epi,Temp,10.579980567461035
Sunapee,0,2011,epi,Temp,10.320189401982619
Sunapee,0,2012,epi,Temp,10.48076098602545
Sunapee,0,2013,epi,Temp,11.198341224370576
Sunapee,0,2014,epi,Temp,9.701748855495916
Sunapee,1,2004,epi,Temp,11.218674036201637
Sunapee,1,2005,epi,Temp,10.677939631664827
Sunapee,1,2006,epi,Temp,10.566703251795273
Sunapee,1,2007,epi,Temp,11.533501920436962
Sunapee,1,2008,epi,Temp,11.002661719431856
Sunapee,1,2009,epi,Temp,11.41192799256652
Sunapee,1,2010,epi,Temp,11.086091175497948
Sunapee,1,2011,epi,Temp,10.800180763309841
Sunapee,1,2012,epi,Temp,11.028398541074232
Sunapee,1,2013,epi,Temp,11.650850773974092
Sunapee,1,2014,epi,Temp,10.39389393498268
Sunapee,2,2004,epi,Temp,11.988258726655513
Sunapee,2,2005,epi,Temp,11.220519669447176
Sunapee,2,2006,epi,Temp,11.171247526989168
Sunapee,2,2007,epi,Temp,11.987151547302961
Sunapee,2,2008,epi,Temp,11.591516994281157
Sunapee,2,2009,epi,Temp,12.108856867848944
Sunapee,2,2010,epi,Temp,11.631739996978688
Sunapee,2,2011,epi,Temp,11.487417726475698
Sunapee,2,2012,epi,Temp,11.727760653118649
Sunapee,2,2013,epi,Temp,12.092949345072412
Sunapee,2,2014,epi,Temp,10.769208897028697
Sunapee,3,2004,epi,Temp,12.42363378379245
Sunapee,3,2005,epi,Temp,11.955015611788804
Sunapee,3,2006,epi,Temp,11.73538598634605
Sunapee,3,2007,epi,Temp,12.256426468265051
Sunapee,3,2008,epi,Temp,12.124513908628558
Sunapee,3,2009,epi,Temp,12.620038701717963
Sunapee,3,2010,epi,Temp,12.277229682610507
Sunapee,3,2011,epi,Temp,11.99417578450719
Sunapee,3,2012,epi,Temp,12.316622699913049
Sunapee,3,2013,epi,Temp,12.511872329084236
Sunapee,3,2014,epi,Temp,11.317346813349864
Sunapee,4,2004,epi,Temp,13.125358447557584
Sunapee,4,2005,epi,Temp,12.41899094690141
Sunapee,4,2006,epi,Temp,12.337523536979678
Sunapee,4,2007,epi,Temp,12.994262430234375
Sunapee,4,2008,epi,Temp,12.727841895283367
Sunapee,4,2009,epi,Temp,13.194476745092416
Sunapee,4,2010,epi,Temp,12.866968060775024
Sunapee,4,2011,epi,Temp,12.566810073298166
Sunapee,4,2012,epi,Temp,12.84757433634556
Sunapee,4,2013,epi,Temp,13.287421164306002
Sunapee,4,2014,epi,Temp,11.916760472350623
Sunapee,5,2004,epi,Temp,13.763905962774292
Sunapee,5,2005,epi,Temp,13.033074720612534
Sunapee,5,2006,epi,Temp,12.77155583630683
Sunapee,5,2007,epi,Temp,13.629930218208422
Sunapee,5,2008,epi,Temp,13.226524429883183
Sunapee,5,2009,epi,Temp,13.87363206962608
Sunapee,5,2010,epi,Temp,13.431612224244105
Sunapee,5,2011,epi,Temp,13.609759367739262
Sunapee,5,2012,epi,Temp,13.480722728290825
Sunapee,5,2013,epi,Temp,13.990353498067739
Sunapee,5,2014,epi,Temp,12.509779734477313
Sunapee,6,2004,epi,Temp,14.418536852000289
Sunapee,6,2005,epi,Temp,13.627743125003857
Sunapee,6,2006,epi,Temp,13.454838483223513
Sunapee,6,2007,epi,Temp,13.980880558203973
Sunapee,6,2008,epi,Temp,13.834532264229145
Sunapee,6,2009,epi,Temp,14.570646339682245
Sunapee,6,2010,epi,Temp,13.98325383073442
Sunapee,6,2011,epi,Temp,13.681495500506527
Sunapee,6,2012,epi,Temp,14.122150471901342
Sunapee,6,2013,epi,Temp,14.396575434907678
Sunapee,6,2014,epi,Temp,13.130742675665553
Sunapee,7,2004,epi,Temp,14.920963510660993
Sunapee,7,2005,epi,Temp,14.217081184962344
Sunapee,7,2006,epi,Temp,14.075448384783657
Sunapee,7,2007,epi,Temp,14.628380537697707
Sunapee,7,2008,epi,Temp,14.329528145533176
Sunapee,7,2009,epi,Temp,15.108524997324114
Sunapee,7,2010,epi,Temp,14.663562849376083
Sunapee,7,2011,epi,Temp,14.808750781086331
Sunapee,7,2012,epi,Temp,14.780064516634777
Sunapee,7,2013,epi,Temp,15.199981936413385
Sunapee,7,2014,epi,Temp,13.730926347924186
